algorithm,text_1,text_2,text_1_size,text_2_size,time,space
memo,gift_of_the_magi,raven,20,40,374882,2875392
dp,gift_of_the_magi,raven,20,40,50242,2813952
dpopt,gift_of_the_magi,raven,20,40,52604,2813952
memo,gift_of_the_magi,raven,20,50,477894,2875392
dp,gift_of_the_magi,raven,20,50,60255,2813952
dpopt,gift_of_the_magi,raven,20,50,56193,2813952
memo,gift_of_the_magi,raven,20,60,525749,2875392
dp,gift_of_the_magi,raven,20,60,61580,2813952
dpopt,gift_of_the_magi,raven,20,60,49956,2813952
memo,gift_of_the_magi,raven,20,70,655852,2940928
dp,gift_of_the_magi,raven,20,70,68715,2813952
dpopt,gift_of_the_magi,raven,20,70,97041,2813952
memo,gift_of_the_magi,raven,20,80,712552,2940928
dp,gift_of_the_magi,raven,20,80,73948,2813952
dpopt,gift_of_the_magi,raven,20,80,64533,2813952
memo,gift_of_the_magi,raven,20,90,704606,2940928
dp,gift_of_the_magi,raven,20,90,83728,2813952
dpopt,gift_of_the_magi,raven,20,90,71858,2813952
memo,gift_of_the_magi,raven,20,100,781405,3072000
dp,gift_of_the_magi,raven,20,100,120368,2813952
dpopt,gift_of_the_magi,raven,20,100,73545,2813952
memo,gift_of_the_magi,raven,20,110,853456,3072000
dp,gift_of_the_magi,raven,20,110,85702,2813952
dpopt,gift_of_the_magi,raven,20,110,74714,2813952
memo,gift_of_the_magi,raven,20,120,935935,3072000
dp,gift_of_the_magi,raven,20,120,95976,2813952
dpopt,gift_of_the_magi,raven,20,120,77709,2813952
memo,gift_of_the_magi,raven,20,130,1061168,3072000
dp,gift_of_the_magi,raven,20,130,103019,2813952
dpopt,gift_of_the_magi,raven,20,130,83728,2813952
memo,gift_of_the_magi,raven,20,140,1110373,3092480
dp,gift_of_the_magi,raven,20,140,104962,2834432
dpopt,gift_of_the_magi,raven,20,140,89455,2834432
memo,gift_of_the_magi,raven,20,150,1188684,3092480
dp,gift_of_the_magi,raven,20,150,111559,2834432
dpopt,gift_of_the_magi,raven,20,150,89309,2834432
memo,gift_of_the_magi,raven,20,160,1214629,3092480
dp,gift_of_the_magi,raven,20,160,109415,2834432
dpopt,gift_of_the_magi,raven,20,160,91673,2834432
memo,gift_of_the_magi,raven,20,170,1286206,3092480
dp,gift_of_the_magi,raven,20,170,113981,2834432
dpopt,gift_of_the_magi,raven,20,170,93598,2834432
memo,gift_of_the_magi,raven,20,180,1347552,3092480
dp,gift_of_the_magi,raven,20,180,120685,2834432
dpopt,gift_of_the_magi,raven,20,180,98596,2834432
memo,gift_of_the_magi,raven,20,190,1271330,3223552
dp,gift_of_the_magi,raven,20,190,130514,2834432
dpopt,gift_of_the_magi,raven,20,190,131860,2834432
memo,gift_of_the_magi,raven,20,200,1340224,3223552
dp,gift_of_the_magi,raven,20,200,132869,2834432
dpopt,gift_of_the_magi,raven,20,200,114965,2834432
memo,gift_of_the_magi,raven,20,210,1366795,3223552
dp,gift_of_the_magi,raven,20,210,140821,2834432
dpopt,gift_of_the_magi,raven,20,210,112231,2834432
memo,gift_of_the_magi,raven,20,220,1410600,3227648
dp,gift_of_the_magi,raven,20,220,138137,2838528
dpopt,gift_of_the_magi,raven,20,220,115132,2838528
memo,gift_of_the_magi,raven,20,230,1497626,3227648
dp,gift_of_the_magi,raven,20,230,141248,2838528
dpopt,gift_of_the_magi,raven,20,230,116908,2838528
memo,gift_of_the_magi,raven,20,240,1611362,3227648
dp,gift_of_the_magi,raven,20,240,154303,2838528
dpopt,gift_of_the_magi,raven,20,240,121316,2838528
memo,gift_of_the_magi,raven,20,250,1652019,3227648
dp,gift_of_the_magi,raven,20,250,150600,2838528
dpopt,gift_of_the_magi,raven,20,250,122978,2838528
memo,gift_of_the_magi,raven,20,260,1867458,3358720
dp,gift_of_the_magi,raven,20,260,154698,2838528
dpopt,gift_of_the_magi,raven,20,260,135635,2838528
memo,gift_of_the_magi,raven,20,270,1827735,3358720
dp,gift_of_the_magi,raven,20,270,158318,2838528
dpopt,gift_of_the_magi,raven,20,270,132141,2838528
memo,gift_of_the_magi,raven,20,280,1933222,3358720
dp,gift_of_the_magi,raven,20,280,173102,2838528
dpopt,gift_of_the_magi,raven,20,280,134962,2838528
memo,gift_of_the_magi,raven,20,290,1983253,3358720
dp,gift_of_the_magi,raven,20,290,177322,2838528
dpopt,gift_of_the_magi,raven,20,290,139310,2838528
memo,gift_of_the_magi,raven,20,300,2046849,3358720
dp,gift_of_the_magi,raven,20,300,180810,2838528
dpopt,gift_of_the_magi,raven,20,300,141012,2838528
memo,gift_of_the_magi,raven,30,10,192265,2899968
dp,gift_of_the_magi,raven,30,10,41691,2838528
dpopt,gift_of_the_magi,raven,30,10,42134,2838528
memo,gift_of_the_magi,raven,30,20,312522,2899968
dp,gift_of_the_magi,raven,30,20,47660,2838528
dpopt,gift_of_the_magi,raven,30,20,49691,2838528
memo,gift_of_the_magi,raven,30,30,427848,2904064
dp,gift_of_the_magi,raven,30,30,56875,2842624
dpopt,gift_of_the_magi,raven,30,30,52251,2842624
memo,gift_of_the_magi,raven,30,40,573699,2969600
dp,gift_of_the_magi,raven,30,40,71614,2842624
dpopt,gift_of_the_magi,raven,30,40,60195,2842624
memo,gift_of_the_magi,raven,30,50,666315,2969600
dp,gift_of_the_magi,raven,30,50,70121,2842624
dpopt,gift_of_the_magi,raven,30,50,64426,2842624
memo,gift_of_the_magi,raven,30,60,761285,2969600
dp,gift_of_the_magi,raven,30,60,84085,2842624
dpopt,gift_of_the_magi,raven,30,60,69273,2842624
memo,gift_of_the_magi,raven,30,70,932368,2969600
dp,gift_of_the_magi,raven,30,70,85995,2842624
dpopt,gift_of_the_magi,raven,30,70,83290,2842624
memo,gift_of_the_magi,raven,30,80,1010974,3100672
dp,gift_of_the_magi,raven,30,80,90018,2842624
dpopt,gift_of_the_magi,raven,30,80,79981,2842624
memo,gift_of_the_magi,raven,30,90,1190623,3100672
dp,gift_of_the_magi,raven,30,90,101184,2842624
dpopt,gift_of_the_magi,raven,30,90,92988,2842624
memo,gift_of_the_magi,raven,30,100,1296322,3100672
dp,gift_of_the_magi,raven,30,100,111088,2842624
dpopt,gift_of_the_magi,raven,30,100,98144,2842624
memo,gift_of_the_magi,raven,30,110,1348134,3100672
dp,gift_of_the_magi,raven,30,110,114241,2842624
dpopt,gift_of_the_magi,raven,30,110,103037,2842624
memo,gift_of_the_magi,raven,30,120,1465902,3100672
dp,gift_of_the_magi,raven,30,120,116077,2842624
dpopt,gift_of_the_magi,raven,30,120,101038,2842624
memo,gift_of_the_magi,raven,30,130,1679513,3231744
dp,gift_of_the_magi,raven,30,130,120965,2842624
dpopt,gift_of_the_magi,raven,30,130,105682,2842624
memo,gift_of_the_magi,raven,30,140,1837909,3235840
dp,gift_of_the_magi,raven,30,140,136861,2846720
dpopt,gift_of_the_magi,raven,30,140,113170,2846720
memo,gift_of_the_magi,raven,30,150,1912531,3235840
dp,gift_of_the_magi,raven,30,150,136477,2846720
dpopt,gift_of_the_magi,raven,30,150,123442,2846720
memo,gift_of_the_magi,raven,30,160,2015086,3235840
dp,gift_of_the_magi,raven,30,160,158178,2846720
dpopt,gift_of_the_magi,raven,30,160,123400,2846720
memo,gift_of_the_magi,raven,30,170,2139192,3235840
dp,gift_of_the_magi,raven,30,170,155762,2846720
dpopt,gift_of_the_magi,raven,30,170,124846,2846720
memo,gift_of_the_magi,raven,30,180,2240598,3366912
dp,gift_of_the_magi,raven,30,180,156510,2846720
dpopt,gift_of_the_magi,raven,30,180,129584,2846720
memo,gift_of_the_magi,raven,30,190,2428387,3366912
dp,gift_of_the_magi,raven,30,190,162734,2846720
dpopt,gift_of_the_magi,raven,30,190,134531,2846720
memo,gift_of_the_magi,raven,30,200,2509281,3366912
dp,gift_of_the_magi,raven,30,200,168643,2846720
dpopt,gift_of_the_magi,raven,30,200,139917,2846720
memo,gift_of_the_magi,raven,30,210,2613440,3366912
dp,gift_of_the_magi,raven,30,210,186083,2846720
dpopt,gift_of_the_magi,raven,30,210,146168,2846720
memo,gift_of_the_magi,raven,30,220,2677464,3366912
dp,gift_of_the_magi,raven,30,220,182872,2846720
dpopt,gift_of_the_magi,raven,30,220,150651,2846720
memo,gift_of_the_magi,raven,30,230,2807422,3497984
dp,gift_of_the_magi,raven,30,230,197547,2846720
dpopt,gift_of_the_magi,raven,30,230,155472,2846720
memo,gift_of_the_magi,raven,30,240,2962657,3497984
dp,gift_of_the_magi,raven,30,240,199230,2846720
dpopt,gift_of_the_magi,raven,30,240,170665,2846720
memo,gift_of_the_magi,raven,30,250,3138592,3497984
dp,gift_of_the_magi,raven,30,250,226191,2846720
dpopt,gift_of_the_magi,raven,30,250,197241,2846720
memo,gift_of_the_magi,raven,30,260,3943067,3497984
dp,gift_of_the_magi,raven,30,260,261892,2846720
dpopt,gift_of_the_magi,raven,30,260,242762,2846720
memo,gift_of_the_magi,raven,30,270,4762343,3534848
dp,gift_of_the_magi,raven,30,270,323402,2883584
dpopt,gift_of_the_magi,raven,30,270,260392,2883584
memo,gift_of_the_magi,raven,30,280,5218370,3665920
dp,gift_of_the_magi,raven,30,280,341830,2883584
dpopt,gift_of_the_magi,raven,30,280,258223,2883584
memo,gift_of_the_magi,raven,30,290,5396596,3665920
dp,gift_of_the_magi,raven,30,290,342013,2883584
dpopt,gift_of_the_magi,raven,30,290,264848,2883584
memo,gift_of_the_magi,raven,30,300,5188469,3665920
dp,gift_of_the_magi,raven,30,300,352028,2883584
dpopt,gift_of_the_magi,raven,30,300,270790,2883584
memo,gift_of_the_magi,raven,40,10,368697,2945024
dp,gift_of_the_magi,raven,40,10,63537,2883584
dpopt,gift_of_the_magi,raven,40,10,66247,2883584
memo,gift_of_the_magi,raven,40,20,588942,2945024
dp,gift_of_the_magi,raven,40,20,78154,2883584
dpopt,gift_of_the_magi,raven,40,20,95582,2883584
memo,gift_of_the_magi,raven,40,30,796800,2945024
dp,gift_of_the_magi,raven,40,30,100639,2883584
dpopt,gift_of_the_magi,raven,40,30,93237,2883584
memo,gift_of_the_magi,raven,40,40,1049608,2945024
dp,gift_of_the_magi,raven,40,40,102799,2883584
dpopt,gift_of_the_magi,raven,40,40,112382,2883584
memo,gift_of_the_magi,raven,40,50,1254936,2949120
dp,gift_of_the_magi,raven,40,50,125630,2887680
dpopt,gift_of_the_magi,raven,40,50,115047,2887680
memo,gift_of_the_magi,raven,40,60,1456729,2949120
dp,gift_of_the_magi,raven,40,60,131290,2887680
dpopt,gift_of_the_magi,raven,40,60,116454,2887680
memo,gift_of_the_magi,raven,40,70,1940434,3080192
dp,gift_of_the_magi,raven,40,70,165103,2887680
dpopt,gift_of_the_magi,raven,40,70,176845,2887680
memo,gift_of_the_magi,raven,40,80,2040363,3080192
dp,gift_of_the_magi,raven,40,80,165627,2887680
dpopt,gift_of_the_magi,raven,40,80,141504,2887680
memo,gift_of_the_magi,raven,40,90,2254533,3145728
dp,gift_of_the_magi,raven,40,90,164889,2887680
dpopt,gift_of_the_magi,raven,40,90,147278,2887680
memo,gift_of_the_magi,raven,40,100,2467168,3145728
dp,gift_of_the_magi,raven,40,100,178460,2887680
dpopt,gift_of_the_magi,raven,40,100,157185,2887680
memo,gift_of_the_magi,raven,40,110,2645519,3276800
dp,gift_of_the_magi,raven,40,110,190763,2887680
dpopt,gift_of_the_magi,raven,40,110,165654,2887680
memo,gift_of_the_magi,raven,40,120,3054875,3276800
dp,gift_of_the_magi,raven,40,120,230284,2887680
dpopt,gift_of_the_magi,raven,40,120,177633,2887680
memo,gift_of_the_magi,raven,40,130,3463708,3276800
dp,gift_of_the_magi,raven,40,130,216034,2887680
dpopt,gift_of_the_magi,raven,40,130,187772,2887680
memo,gift_of_the_magi,raven,40,140,3745691,3407872
dp,gift_of_the_magi,raven,40,140,228899,2887680
dpopt,gift_of_the_magi,raven,40,140,196875,2887680
memo,gift_of_the_magi,raven,40,150,3973641,3407872
dp,gift_of_the_magi,raven,40,150,242560,2887680
dpopt,gift_of_the_magi,raven,40,150,206063,2887680
memo,gift_of_the_magi,raven,40,160,4162542,3411968
dp,gift_of_the_magi,raven,40,160,267424,2891776
dpopt,gift_of_the_magi,raven,40,160,219784,2891776
memo,gift_of_the_magi,raven,40,170,4286498,3411968
dp,gift_of_the_magi,raven,40,170,282600,2891776
dpopt,gift_of_the_magi,raven,40,170,224193,2891776
memo,gift_of_the_magi,raven,40,180,4612810,3543040
dp,gift_of_the_magi,raven,40,180,321908,2891776
dpopt,gift_of_the_magi,raven,40,180,233079,2891776
memo,gift_of_the_magi,raven,40,190,4928587,3543040
dp,gift_of_the_magi,raven,40,190,312944,2891776
dpopt,gift_of_the_magi,raven,40,190,262085,2891776
memo,gift_of_the_magi,raven,40,200,5097438,3543040
dp,gift_of_the_magi,raven,40,200,322144,2891776
dpopt,gift_of_the_magi,raven,40,200,251653,2891776
memo,gift_of_the_magi,raven,40,210,5279655,3674112
dp,gift_of_the_magi,raven,40,210,336101,2891776
dpopt,gift_of_the_magi,raven,40,210,262013,2891776
memo,gift_of_the_magi,raven,40,220,5498078,3674112
dp,gift_of_the_magi,raven,40,220,337546,2891776
dpopt,gift_of_the_magi,raven,40,220,280877,2891776
memo,gift_of_the_magi,raven,40,230,5755905,3674112
dp,gift_of_the_magi,raven,40,230,362480,2891776
dpopt,gift_of_the_magi,raven,40,230,278841,2891776
memo,gift_of_the_magi,raven,40,240,6125415,3805184
dp,gift_of_the_magi,raven,40,240,384425,2891776
dpopt,gift_of_the_magi,raven,40,240,300612,2891776
memo,gift_of_the_magi,raven,40,250,6271930,3805184
dp,gift_of_the_magi,raven,40,250,395797,2891776
dpopt,gift_of_the_magi,raven,40,250,307049,2891776
memo,gift_of_the_magi,raven,40,260,6878532,3809280
dp,gift_of_the_magi,raven,40,260,401942,2895872
dpopt,gift_of_the_magi,raven,40,260,311657,2895872
memo,gift_of_the_magi,raven,40,270,7154205,3809280
dp,gift_of_the_magi,raven,40,270,415777,2895872
dpopt,gift_of_the_magi,raven,40,270,341632,2895872
memo,gift_of_the_magi,raven,40,280,7530959,3940352
dp,gift_of_the_magi,raven,40,280,425354,2895872
dpopt,gift_of_the_magi,raven,40,280,330248,2895872
memo,gift_of_the_magi,raven,40,290,7787864,3940352
dp,gift_of_the_magi,raven,40,290,430794,2895872
dpopt,gift_of_the_magi,raven,40,290,342988,2895872
memo,gift_of_the_magi,raven,40,300,7890310,3940352
dp,gift_of_the_magi,raven,40,300,443119,2895872
dpopt,gift_of_the_magi,raven,40,300,348564,2895872
memo,gift_of_the_magi,raven,50,10,419076,2957312
dp,gift_of_the_magi,raven,50,10,69614,2895872
dpopt,gift_of_the_magi,raven,50,10,74712,2895872
memo,gift_of_the_magi,raven,50,20,715702,2957312
dp,gift_of_the_magi,raven,50,20,89103,2895872
dpopt,gift_of_the_magi,raven,50,20,109915,2895872
memo,gift_of_the_magi,raven,50,30,974780,2957312
dp,gift_of_the_magi,raven,50,30,102628,2895872
dpopt,gift_of_the_magi,raven,50,30,106922,2895872
memo,gift_of_the_magi,raven,50,40,1317415,2957312
dp,gift_of_the_magi,raven,50,40,118414,2895872
dpopt,gift_of_the_magi,raven,50,40,120144,2895872
memo,gift_of_the_magi,raven,50,50,1589541,2957312
dp,gift_of_the_magi,raven,50,50,151039,2895872
dpopt,gift_of_the_magi,raven,50,50,144610,2895872
memo,gift_of_the_magi,raven,50,60,1795868,3088384
dp,gift_of_the_magi,raven,50,60,175206,2895872
dpopt,gift_of_the_magi,raven,50,60,146445,2895872
memo,gift_of_the_magi,raven,50,70,2424864,3158016
dp,gift_of_the_magi,raven,50,70,189523,2899968
dpopt,gift_of_the_magi,raven,50,70,159132,2899968
memo,gift_of_the_magi,raven,50,80,2570689,3158016
dp,gift_of_the_magi,raven,50,80,194905,2899968
dpopt,gift_of_the_magi,raven,50,80,170397,2899968
memo,gift_of_the_magi,raven,50,90,2784595,3289088
dp,gift_of_the_magi,raven,50,90,197823,2899968
dpopt,gift_of_the_magi,raven,50,90,176163,2899968
memo,gift_of_the_magi,raven,50,100,3079422,3289088
dp,gift_of_the_magi,raven,50,100,222539,2899968
dpopt,gift_of_the_magi,raven,50,100,188780,2899968
memo,gift_of_the_magi,raven,50,110,3305093,3289088
dp,gift_of_the_magi,raven,50,110,229398,2899968
dpopt,gift_of_the_magi,raven,50,110,199681,2899968
memo,gift_of_the_magi,raven,50,120,3677996,3420160
dp,gift_of_the_magi,raven,50,120,253206,2899968
dpopt,gift_of_the_magi,raven,50,120,210303,2899968
memo,gift_of_the_magi,raven,50,130,4334530,3420160
dp,gift_of_the_magi,raven,50,130,279206,2899968
dpopt,gift_of_the_magi,raven,50,130,229598,2899968
memo,gift_of_the_magi,raven,50,140,4654923,3420160
dp,gift_of_the_magi,raven,50,140,283739,2899968
dpopt,gift_of_the_magi,raven,50,140,242971,2899968
memo,gift_of_the_magi,raven,50,150,4904271,3551232
dp,gift_of_the_magi,raven,50,150,319442,2899968
dpopt,gift_of_the_magi,raven,50,150,244612,2899968
memo,gift_of_the_magi,raven,50,160,5163166,3551232
dp,gift_of_the_magi,raven,50,160,338631,2899968
dpopt,gift_of_the_magi,raven,50,160,270692,2899968
memo,gift_of_the_magi,raven,50,170,5136816,3551232
dp,gift_of_the_magi,raven,50,170,339659,2899968
dpopt,gift_of_the_magi,raven,50,170,271289,2899968
memo,gift_of_the_magi,raven,50,180,5444491,3555328
dp,gift_of_the_magi,raven,50,180,347515,2904064
dpopt,gift_of_the_magi,raven,50,180,282126,2904064
memo,gift_of_the_magi,raven,50,190,5923827,3686400
dp,gift_of_the_magi,raven,50,190,376352,2904064
dpopt,gift_of_the_magi,raven,50,190,293936,2904064
memo,gift_of_the_magi,raven,50,200,6167047,3686400
dp,gift_of_the_magi,raven,50,200,389680,2904064
dpopt,gift_of_the_magi,raven,50,200,315427,2904064
memo,gift_of_the_magi,raven,50,210,6365089,3817472
dp,gift_of_the_magi,raven,50,210,405633,2904064
dpopt,gift_of_the_magi,raven,50,210,316841,2904064
memo,gift_of_the_magi,raven,50,220,6642567,3817472
dp,gift_of_the_magi,raven,50,220,411984,2904064
dpopt,gift_of_the_magi,raven,50,220,338935,2904064
memo,gift_of_the_magi,raven,50,230,6889832,3817472
dp,gift_of_the_magi,raven,50,230,435528,2904064
dpopt,gift_of_the_magi,raven,50,230,338917,2904064
memo,gift_of_the_magi,raven,50,240,7415924,3948544
dp,gift_of_the_magi,raven,50,240,454206,2904064
dpopt,gift_of_the_magi,raven,50,240,353899,2904064
memo,gift_of_the_magi,raven,50,250,7597674,3948544
dp,gift_of_the_magi,raven,50,250,463991,2904064
dpopt,gift_of_the_magi,raven,50,250,363233,2904064
memo,gift_of_the_magi,raven,50,260,8402313,3948544
dp,gift_of_the_magi,raven,50,260,490086,2904064
dpopt,gift_of_the_magi,raven,50,260,391585,2904064
memo,gift_of_the_magi,raven,50,270,8664775,4079616
dp,gift_of_the_magi,raven,50,270,513586,2904064
dpopt,gift_of_the_magi,raven,50,270,392360,2904064
memo,gift_of_the_magi,raven,50,280,9189732,4083712
dp,gift_of_the_magi,raven,50,280,519066,2908160
dpopt,gift_of_the_magi,raven,50,280,409452,2908160
memo,gift_of_the_magi,raven,50,290,9496208,4214784
dp,gift_of_the_magi,raven,50,290,534513,2908160
dpopt,gift_of_the_magi,raven,50,290,415271,2908160
memo,gift_of_the_magi,raven,50,300,9615723,4214784
dp,gift_of_the_magi,raven,50,300,562487,2908160
dpopt,gift_of_the_magi,raven,50,300,435281,2908160
memo,gift_of_the_magi,raven,60,10,503584,2969600
dp,gift_of_the_magi,raven,60,10,75751,2908160
dpopt,gift_of_the_magi,raven,60,10,84682,2908160
memo,gift_of_the_magi,raven,60,20,838141,2969600
dp,gift_of_the_magi,raven,60,20,96240,2908160
dpopt,gift_of_the_magi,raven,60,20,118031,2908160
memo,gift_of_the_magi,raven,60,30,1151191,2969600
dp,gift_of_the_magi,raven,60,30,120175,2908160
dpopt,gift_of_the_magi,raven,60,30,124199,2908160
memo,gift_of_the_magi,raven,60,40,1545953,2969600
dp,gift_of_the_magi,raven,60,40,135331,2908160
dpopt,gift_of_the_magi,raven,60,40,135479,2908160
memo,gift_of_the_magi,raven,60,50,1875895,3100672
dp,gift_of_the_magi,raven,60,50,159320,2908160
dpopt,gift_of_the_magi,raven,60,50,153175,2908160
memo,gift_of_the_magi,raven,60,60,2409810,3166208
dp,gift_of_the_magi,raven,60,60,194465,2908160
dpopt,gift_of_the_magi,raven,60,60,157231,2908160
memo,gift_of_the_magi,raven,60,70,2788542,3297280
dp,gift_of_the_magi,raven,60,70,208613,2908160
dpopt,gift_of_the_magi,raven,60,70,193498,2908160
memo,gift_of_the_magi,raven,60,80,3052075,3297280
dp,gift_of_the_magi,raven,60,80,221380,2908160
dpopt,gift_of_the_magi,raven,60,80,192636,2908160
memo,gift_of_the_magi,raven,60,90,3267337,3301376
dp,gift_of_the_magi,raven,60,90,251564,2912256
dpopt,gift_of_the_magi,raven,60,90,229101,2912256
memo,gift_of_the_magi,raven,60,100,3719898,3432448
dp,gift_of_the_magi,raven,60,100,264085,2912256
dpopt,gift_of_the_magi,raven,60,100,231618,2912256
memo,gift_of_the_magi,raven,60,110,4036023,3432448
dp,gift_of_the_magi,raven,60,110,274664,2912256
dpopt,gift_of_the_magi,raven,60,110,234490,2912256
memo,gift_of_the_magi,raven,60,120,4599675,3563520
dp,gift_of_the_magi,raven,60,120,291685,2912256
dpopt,gift_of_the_magi,raven,60,120,256865,2912256
memo,gift_of_the_magi,raven,60,130,5265934,3563520
dp,gift_of_the_magi,raven,60,130,324597,2912256
dpopt,gift_of_the_magi,raven,60,130,269355,2912256
memo,gift_of_the_magi,raven,60,140,5822105,3694592
dp,gift_of_the_magi,raven,60,140,340394,2912256
dpopt,gift_of_the_magi,raven,60,140,273759,2912256
memo,gift_of_the_magi,raven,60,150,6136252,3694592
dp,gift_of_the_magi,raven,60,150,366942,2912256
dpopt,gift_of_the_magi,raven,60,150,298235,2912256
memo,gift_of_the_magi,raven,60,160,6404012,3694592
dp,gift_of_the_magi,raven,60,160,388983,2912256
dpopt,gift_of_the_magi,raven,60,160,303390,2912256
memo,gift_of_the_magi,raven,60,170,6654623,3825664
